Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary($) /month ,Company age,job_state,Remote,seniority,desc_len
Axcelis Technologies Inc. ,Data Scientist I,102645.0,The Supply Chain team looking Data Scientist support fastgrowing demand datadriven solutions You design develop algorithms analyze unstructured diverse data sources goal optimizing highly complex supply chain ion implanters Moreover build Power BI reports generate actionable insights internal users This job involve steps entire data pipeline vetting cleaning parsing data make ready development well developing evaluating presenting models collaboration colleagues providing support leadership You work highpaced business environment handson attitude excellent communication skills required This role allows Data Scientist grow data analytics problem solving skills also learning supply chain semiconductor industry,4.0,"Beverly, MA",501 to 1000 Employees,1995,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),8553.75,29, MA,0.0,nf,927
New York City Council ,Data Scientist,80000.0,The New York City Council equal opportunity employer seeks experienced professional serve Data Scientist Legislative Division SALARY RANGE 75000 85000 KEY RESPONSIBILITIES The Data Scientist Develop enhance investigations data analytics Collect utilize data inform investigations Perform complex statistical analyses sample aggregate data sets identify patterns trends systemic issues,3.9,"New York, NY",Unknown,-1,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,6666.67,-1, NY,0.0,nf,461
Heineken ,Data Scientist,131298.0,About Us The Lagunitas Brewing Company began kitchen stove Northern California 1993 always looked future – whether supporting local communities turning beer money cause fueling stories songs experiences IPA Wherever go Beer Speaks People Mumble What You’ll Get Benefits – Awesome coverage Medical Dental Vision Time Approx 33 days first year combo vacay holidays personal days,4.2,"Petaluma, CA",10000+ Employees,1864,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),10941.5,160, CA,0.0,nf,482
CVS Health ,Data Scientist - Cost & Ops Analytics,129008.0,Bring heart CVS Health Every one us CVS Health shares single clear purpose Bringing heart every moment health This purpose guides commitment deliver enhanced humancentric health care rapidly changing world Anchored brand — heart center — purpose sends personal message deliver services important deliver Our Heart At Work Behaviors™ support purpose We want everyone works CVS Health feel empowered role play transforming culture accelerating ability innovate deliver solutions make health care personal convenient affordable 8291500 17510000,3.1,"Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),10750.67,61, MA,0.0,nf,746
Leidos ,Junior Data Scientist,75738.0,Description Were looking Junior Data Scientist join team The EndUser Centric Information Technology IT Support ECIS program responsible providing support solutions Infrastructure User Services Group initiatives IUSG projects effectively deployed create technology organization outcomes desired The ECIS delivers timely responsive factbased decisionsactions provide support CMS ECIS customers The ECIS organization consists Program Management Office PMO Service Area Organizations structured ensure successful performance necessary tasks PWS within budget schedule The CTO Organization valued strategic team within ECIS partners CMS stakeholders drive IT innovation modernization digital transformation solutions support everevolving business needs ECIS As CMS plans new IT paths CTO Organization harnesses new technology data science advanced analytics AIML including cloud migration provide overarching innovative interoperable scalable solutions enables selfservice provide best enduser experience Pay Range 5395000 9752500 01232024,3.8,Remote,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),6311.5,55,Remote,1.0,junior,1262
Online Commerce Group (OCG) ,Data Scientist - Generative AI,97746.0,LOCATION Montgomery Alabama PartTime Remote For hire contract JOB DESCRIPTION As Data Scientist specializing Generative AI play crucial role developing implementing cuttingedge generative models solve complex problems drive innovation You collaborate crossfunctional teams data scientists machine learning engineers domain experts create novel solutions realworld impact JOB DUTIES Research design implement generative models various applications image synthesis text generation data augmentation,3.3,"Montgomery, AL",Unknown,-1,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,8145.5,-1, AL,1.0,nf,594
Intone Networks ,Data Scientist,124823.72,Responsibilities Refactor models work new data provider Document models processes Streamline entire process ensure maximum efficiency Take contained data match new data Work strong independently also teams ensure data properly integrated Develop new models needed,4.3,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,343
Amira Learning ,Junior Data Scientist,124823.72,Junior Data Scientist REMOTE FULL TIME APPROX HIRE DATE February 2024 About Amira Learning We believe every child deserves chance become reader We seek help students learn read company world Amira rapidly growing renowned AI startup recently named Business Insider one 30 startups bet career The company education company Forbes Top 50 AI Companies Time Magazine Best Invention 2021 featured NY Times selected “Future Education” Wall Street Journal dozens awards software excellence exploded schools across country,5.0,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,junior,700
"Antech Systems, Inc. ",Data Scientist,107803.0,Antech Systems seeks Data Scientist support research number areas including Navy maintenance procedures policy best practices Prior knowledge Navy maintenance systems required This learned job Applicants must knowledge database structure design query report writing Be able analyze data think critically Be proficient Microsoft Office Applications Having previous experience Microsoft SQL Server products beneficial Have work experience performing data analysis independent research experience preferred Possess excellent oral written communication presentation skills poised articulate Be able interact well people team environment also work independently Be able multitask,4.5,"Chesapeake, VA",51 to 200 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),8983.58,34, VA,0.0,nf,812
Abridge ,Research Scientist in ML / NLP (All Ranks),225000.0,Health care conversations 2B spoken conversations year patients care teams United States However people forget 80 conversations leading worse patient outcomes And doctors burning writing notes EMRs instead focusing patients That’s Abridge comes — audiobased standalone integrated solutions record summarize medical conversations anywhere care happens The Role From transcribing medical conversations delivering key takeaways trailblazing work machine learning research makes Abridge experience possible Were currently looking hire research scientists experience machine learning natural language processing The ideal candidate bring technical mastery fluency foundation models genuine interest medical domain strong critical thinking skills role At Abridge ML work strong research component research scientists contribute directly real products impact lives doctors,4.5,Remote,51 to 200 Employees,2018,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,18750.0,6,Remote,1.0,nf,1116
Plaid ,Experienced Data Scientist - Credit,193000.0,We believe way people interact finances drastically improve next years We’re dedicated empowering transformation building tools experiences thousands developers use create products Plaid powers tools millions people rely live healthier financial life We work thousands companies like Venmo SoFi several Fortune 500 many largest banks make easy people connect financial accounts apps services want use Plaid’s network covers 12000 financial institutions across US Canada UK Europe Founded 2013 company headquartered San Francisco offices New York Washington DC London Amsterdam LIHybrid Plaid’s Machine Learning team building models services platforms improve millions users understand grow financial lives We looking data scientists help clients make best use products additionally uncover insights power machine learning roadmap,4.1,"San Francisco, CA",1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,16083.33,12, CA,0.0,nf,1111
Vibrant Emotional Health ,Data Scientist I,86000.0,Position Title Data Scientist I Salary Range 80000 92000 Department Information Technology Reports Manager Analytics Research Location Remote Schedule MF 95 EST Formerly Mental Health Association New York City MHANYC Vibrant Emotional Health’s groundbreaking solutions delivered high quality services support people need 50 years Through stateoftheart technologyenabled services community wellness programs advocacy education work building society emotional wellness reality everyone,2.1,Remote,201 to 500 Employees,-1,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),7166.67,-1,Remote,1.0,nf,611
3M ,Data Scientist Specialist/Bioinformatics Specialist,128453.0,Job Description Data Scientist SpecialistBioinformatics Specialist 3M Company St Paul Minnesota Develop advanced data analysis toolkits explore enable invention new products related identification testing validation biological information Wound Healing Biopharma Purification Lead technical research related infection prevention microbial detection control andor separation purification sciences new technology introduction efforts apply bioinformatics microbial detection control products Interface data scientists across company leverage develop new state art machine learning tools data analysis capabilities informatic systemsDoctorate Bioinformatics Biological Sciences required Must two years work research experience conducting applying bioinformatics research data analysis applicable microbial detection control products wound healing biopharma purification ii applying computer science principles bioinformatics field Experience may gained concurrently Position may eligible telecommuting location United States Apply online 3mcom3menUScareersus The expected compensation range position 115607 141298 includes base pay plus variable incentive pay eligible This range represents good faith estimate position The specific compensation offered candidate may vary based factors including limited candidate’s relevant knowledge training skills work location andor experience In addition position may eligible range benefits eg Medical Dental Vision Health Savings Accounts Health Care Dependent Care Flexible Spending Accounts Disability Benefits Life Insurance Voluntary Benefits Paid Absences Retirement Benefits etc Additional information available httpswww3mcom3MenUScareersusworkingat3mbenefits Learn 3M’s creative solutions world’s problems www3Mcom Twitter 3M Responsibilities position include corporate policies procedures security standards complied performing assigned duties Our approach flexibility called Work Your Way puts employees first drives wellbeing ways enable 3M’s business performance goals You flexibility work gets done It depends best work Pay Benefits Overview httpswww3mcom3MenUScareersusworkingat3mbenefits 3M equal opportunity employer 3M discriminate applicant employment basis race color religion sex sexual orientation gender identity national origin age disability veteran status,3.7,"Maplewood, MN",10000+ Employees,1902,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),10704.42,122, MN,0.0,nf,2906
Abbott Laboratories ,"Data Scientist, Data Strategy and Analytics",216200.0,Abbott global healthcare leader helps people live fully stages life Our portfolio lifechanging technologies spans spectrum healthcare leading businesses products diagnostics medical devices nutritionals branded generic medicines Our 115000 colleagues serve people 160 countries Working Abbott At Abbott work matters grow learn care family true self live full life You’ll also access Career development international company grow career dream,3.8,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),18016.67,136, CA,0.0,nf,616
Automobile Club of Southern California ,Data Scientist III,121800.0,As Data Scientist 3 handle multiple projects act internal business consultant help optimize every facet organization You solve problems answer questions – using data – departments help us reduce costs reduce errors better organization 17 million members What You’ll Do Will understand specific task fits bigger picture suggest best accomplish within project framework Will selfmanage tasks projects complete time general supervision Every day help solve business problems presented us stakeholders using data You get scenario problem “We need reduce cycle times” pull analyze interpret data relevant scenario You pull data SQL databases You analyze interpret data using Python R tools You determine patterns trends statistical significance problem To visualize data use Tableau Once done analysis paired data engineer present findings stakeholder confirm refute simply acknowledge hypothesis Your work may implemented may develop something else This role remote must able report Costa Mesa California office regular collaboration days What You’ll Need To thrive role must solid foundation statistics data analysis You must able describe project pulled data analyzed identified trends patterns determined significance delivered insights recommendations business What approach What tools use Did get root cause issue Did confirm refute hypothesis You must able speak involvement decisions stage For pulling data use SQL must proficient tool To curate analyze data use variety languages programs Python R even Excel You choose whatever tool helps best must proficient either Python R Excellent communication skills attitude flexibility must Very often get data aspect takes longer thought pivot change approach problem A dashboard works better model perhaps Then explain stakeholder team made change deliverable taking longer expected It’s creative approach communicating frequently clearly people may less tech datasavvy LISJ1 10440000 13920000 Additionally eligible participate incentive program based upon achievement organization team personal performance The Automobile Club Southern California part largest federation AAA clubs nation We 14000 employees 21 states helping 17 million members The strength organization employees Bringing together supporting different cultures backgrounds personalities strengths creates team capable delivering legendary lifetime service members When embrace diversity – win All Us With national brand recognition longstanding reputation since 1902 constantly growing membership seeking careerminded servicedriven professionals join team “Through dedicated employees proudly deliver legendary service beneficial products provide members peace mind value” AAA Equal Opportunity Employer The Automobile Club Southern California consider employment qualified applicants including criminal histories manner consistent requirements applicable federal state local laws including City Los Angeles’ Fair Chance Initiative Hiring Ordinance,3.0,"Costa Mesa, CA",5001 to 10000 Employees,1900,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),10150.0,124, CA,1.0,nf,4061
UNKNOWN ,Data Scientist (Junior Level),51863.0,We leading job agency seeking Junior Data Scientist join team work top vendors The ideal candidate strong analytical skills excellent attention detail desire learn grow field data analysis Responsibilities Collect manipulate analyze data various sources Prepare reports visualizations communicate findings stakeholders Identify trends patterns data help inform business decisions Collaborate crossfunctional teams develop implement datadriven solutions,-1.0,"Irving, TX",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,4321.92,-1, TX,0.0,junior,573
U.S. Bank National Association ,Data Scientist,117390.0,At US Bank we’re journey best Helping customers businesses serve make better smarter financial decisions enabling communities support grow succeed We believe takes us bring shared ambition life person unique potential A career US Bank gives wide evergrowing range opportunities discover makes thrive every stage career Try new things learn new skills discover excel at—all Day One Job Description US Bank seeking position Data Scientist Minneapolis MN Essential Responsibilities In addition salary US Bank offers comprehensive benefits package including incentive recognition programs equity stock purchase 401k contribution pension benefits subject eligibility requirements US Bank accepts applications position ongoing basis,3.7,"Minneapolis, MN",10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),9782.5,161, MN,0.0,nf,954
"Hoʻolaulima Government Solutions, LLC, (HGS) ",Data Scientist,111665.0,Hoolaulima Government Solutions LLC HGS Small Business Administrationcertified Native Hawaiian OrganizationOwned 8a Small Business provides services solutions areas Cybersecurity Services Information Technology Services Professional Technical Services Environmental Services Healthcare Services Department Defense Federal agencies HGS whollyowned subsidiary Kinaole Foundation 501c3 nonprofit established benefit Native Hawaiian communities You receive comprehensive benefits package includes,4.7,"Huntsville, AL",51 to 200 Employees,2014,Company - Private,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,9305.42,10, AL,0.0,nf,600
Bayer ,Genomics Data Scientist,132073.0,At Bayer we’re visionaries driven solve world’s toughest challenges striving world Health Hunger none’ longer dream real possibility We’re energy curiosity sheer dedication always learning unique perspectives around us expanding thinking growing capabilities redefining ‘impossible’ There many reasons join us If you’re hungry build varied meaningful career community brilliant diverse minds make real difference there’s one choice Genomics Data Scientist,3.9,"Chesterfield, MO",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),11006.08,161, MO,0.0,nf,602
